year,week,samples,mae,rmse
2024,1,3005,63.16139602661133,212.33195561431634
2024,2,3167,121.0704116821289,664.5065603513633
2024,3,3126,28.27895164489746,181.29059890132197
2024,4,3043,97.99539947509766,713.7769478275409
2024,5,3155,69.28684997558594,363.579663725847
2024,6,3093,83.31910705566406,554.8892062835607
2024,7,3010,80.66844177246094,580.8006327475892
2024,8,3074,85.20104217529297,389.712634514202
2024,9,3069,87.87944030761719,670.9737327198435
2024,10,3049,97.18006134033203,1068.1243490343247
2024,11,2772,64.21392822265625,280.19010008831503
2024,12,3031,75.71857452392578,533.7857716350259
2024,13,3027,64.91575622558594,269.9643350287219
2024,14,2947,43.64031219482422,188.71792980861676
2024,15,2983,100.67247772216797,1085.6878579960264
2024,16,3009,46.19541549682617,242.82402643169394
2024,17,3045,60.88801193237305,265.05829252732315
2024,18,3021,55.713008880615234,222.36356420848267
2024,19,3075,113.33723449707031,498.6185133696903
2024,20,3017,62.845211029052734,309.4945476094854
2024,21,3050,52.459014892578125,252.6969297028557
2024,22,3012,51.13014602661133,306.58053591185467
2024,23,3055,53.095252990722656,244.9106262368989
2024,24,3028,88.6109619140625,475.795386694743
2024,25,2957,69.36117553710938,409.7369392366278
2024,26,3023,122.33079528808594,1469.9944727787245
2024,27,2992,76.93917083740234,345.4511429818984
2024,28,3042,74.03089904785156,298.2200058262356
2024,29,3041,36.634986877441406,175.0839586544838
2024,30,3041,44.4607048034668,273.356023575483
2024,31,3016,108.75431060791016,388.99160498653436
2024,32,3127,73.23696899414062,374.93557779970683
2024,33,2973,67.74772644042969,514.5080174302437
2024,34,2873,49.859378814697266,241.54555244559978
2024,35,2856,62.851890563964844,338.1959029172293
2024,36,2995,54.457763671875,260.10822567250733
2024,37,2834,54.94213104248047,306.5056840826936
2024,38,2871,53.46569061279297,238.04761701968368
2024,39,2775,60.074954986572266,342.7762685958583
2024,40,2942,65.91162109375,258.6989532980371
2024,41,2908,69.65233612060547,574.0138554512425
2024,42,2914,53.74090576171875,255.37529062636423
2024,43,2909,58.061187744140625,287.4060987957632
2024,44,2908,55.63961410522461,300.3780300513005
2024,45,2749,63.078208923339844,338.75727621336785
2024,46,2921,52.44813537597656,602.3578151730082
2024,47,2717,54.287818908691406,465.6274999932886
2024,48,2961,67.24147033691406,319.7294999292371
2024,49,2987,66.6889877319336,428.7617345332953
2024,50,3016,68.4612045288086,272.7099248743984
2024,51,2991,82.71481323242188,707.1162386764994
2025,2,3053,105.76482391357422,432.4572955795751
2025,3,2961,63.694698333740234,743.4322850804907
2025,4,3008,91.42353820800781,555.2781679032591
2025,5,2773,61.19797897338867,318.7578430407635
2025,6,3091,97.34713745117188,946.9271025269052
2025,7,2972,91.31897735595703,1247.1366705377563
2025,8,3029,62.59491729736328,269.9179997008351
2025,9,2946,77.74100494384766,345.67173056600967
2025,10,2911,78.05015563964844,367.3594118843289
2025,11,3067,74.0136947631836,466.5882486197011
2025,12,2894,48.825157165527344,222.8560616603237
